#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1A159
#Date Time: 2021-04-06 15:31:34.286
#Sample rate: 3292.18Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 200 mV Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 500 mV/div Offset: -1 V
#Math 1: Function: -1*C1

Time (s),Channel 2 (V),Math 1 (V)
-0.2719556074766355,-0.0029880851764306771,0.0025837345359613212
-0.27165185747663567,-0.0029880851764306771,0.0025837345359613212
-0.27134810747663562,-0.0029880851764306771,0.0059463280569599644
-0.27104435747663558,0.00037048739487610671,0.0025837345359613212
-0.27074060747663553,0.0037290599661828905,-0.000778858985037322
-0.27043685747663548,0.00037048739487152482,0.0059463280569645519
-0.27013310747663566,-0.0097052303190396632,0.016034108619951307
-0.26982935747663561,-0.0097052303190442446,0.016034108619955894
-0.26952560747663556,-0.0097052303190442446,0.019396702140954538
-0.26922185747663552,-0.016422375461657812,0.022759295661953179
-0.26891810747663547,-0.016422375461657812,0.026121889182951823
-0.26861435747663565,-0.016422375461657812,0.026121889182951823
-0.2683106074766356,-0.019780948032964596,0.029484482703950467
-0.26800685747663555,-0.02313952060427138,0.032847076224949111
-0.2677031074766355,-0.029856665746884947,0.039572263266946399
-0.26739935747663546,-0.033215238318191731,0.042934856787946563
-0.26709560747663563,-0.033215238318191731,0.04629745030894368
-0.26679185747663559,-0.036573810889498515,0.04629745030894368
-0.26648810747663554,-0.036573810889498515,0.04629745030894368
-0.26618435747663549,-0.039932383460805299,0.049660043829942324
-0.26588060747663567,-0.039932383460805299,0.049660043829942324
-0.26557685747663562,-0.039932383460805299,0.049660043829942324
-0.26527310747663557,-0.039932383460805299,0.053022637350940968
-0.26496935747663553,-0.039932383460805299,0.053022637350940968
-0.26466560747663548,-0.043290956032112082,0.053022637350940968
-0.26436185747663565,-0.043290956032112082,0.053022637350940968
-0.26405810747663561,-0.043290956032112082,0.053022637350940968
-0.26375435747663556,-0.043290956032112082,0.053022637350940968
-0.26345060747663551,-0.043290956032112082,0.053022637350940968
-0.26314685747663547,-0.046649528603421919,0.056385230871941139
-0.26284310747663564,-0.053366673746029381,0.05974782439293673
-0.26253935747663559,-0.05000810117472565,0.059747824392938256
-0.26223560747663555,-0.046649528603418866,0.056385230871939612
-0.2619318574766355,-0.033215238318191731,0.042934856787945036
-0.26162810747663567,-0.029856665746886474,0.039572263266947925
-0.26132435747663563,-0.026498093175578163,0.036209669745947755
-0.26102060747663558,-0.026498093175578163,0.032847076224949111
-0.26071685747663553,-0.026498093175578163,0.029484482703950467
-0.26041310747663549,-0.02313952060427138,0.029484482703950467
-0.26010935747663566,-0.02313952060427138,0.029484482703950467
-0.25980560747663561,-0.02313952060427138,0.026121889182951823
-0.25950185747663557,-0.019780948032964596,0.022759295661953179
-0.25919810747663552,-0.016422375461657812,0.019396702140954538
-0.25889435747663547,-0.013063802890349502,0.01267151509895725
-0.25859060747663565,-0.0097052303190457712,0.01267151509895725
-0.2582868574766356,-0.0097052303190442446,0.0093089215779586076
-0.25798310747663555,-0.0063466577477374608,0.0059463280569599644
-0.25767935747663551,-0.0063466577477374608,0.0059463280569599644
-0.25737560747663546,-0.0063466577477359334,0.0059463280569584352
-0.25707185747663563,-0.0029880851764306771,0.0025837345359613212
-0.25676810747663559,-0.0029880851764306771,0.0025837345359613212
-0.25646435747663554,-0.0029880851764306771,0.0025837345359613212
-0.25616060747663549,-0.0029880851764306771,0.0025837345359613212
-0.25585685747663567,-0.0029880851764306771,0.0025837345359613212
-0.25555310747663562,-0.0029880851764306771,0.0025837345359613212
-0.25524935747663557,-0.0029880851764306771,0.0025837345359613212
-0.25494560747663553,-0.0029880851764306771,0.0025837345359613212
-0.25464185747663548,-0.0029880851764291496,0.0059463280569584352
-0.25433810747663566,0.00037048739487457929,0.0025837345359628503
-0.25403435747663561,0.0037290599661828905,-0.000778858985037322
-0.25373060747663556,-0.0029880851764306771,0.0093089215779586076
-0.25342685747663551,-0.0097052303190442446,0.016034108619955894
-0.25312310747663547,-0.0097052303190457712,0.019396702140954538
-0.25281935747663564,-0.013063802890349502,0.019396702140954538
-0.2525156074766356,-0.013063802890351028,0.022759295661953179
-0.25221185747663555,-0.019780948032964596,0.026121889182951823
-0.2519081074766355,-0.016422375461657812,0.026121889182951823
-0.25160435747663568,-0.019780948032963069,0.029484482703948937
-0.25130060747663563,-0.02313952060427138,0.032847076224949111
-0.25099685747663558,-0.029856665746884947,0.039572263266946399
-0.25069310747663553,-0.033215238318191731,0.042934856787945036
-0.25038935747663549,-0.033215238318193258,0.04629745030894368
-0.25008560747663566,-0.036573810889496988,0.04629745030894368
-0.24978185747663562,-0.036573810889498515,0.049660043829942324
-0.24947810747663557,-0.039932383460805299,0.049660043829942324
-0.24917435747663552,-0.039932383460805299,0.053022637350940968
-0.24887060747663547,-0.039932383460805299,0.053022637350940968
-0.24856685747663565,-0.039932383460805299,0.053022637350940968
-0.2482631074766356,-0.039932383460805299,0.053022637350940968
-0.24795935747663556,-0.043290956032112082,0.053022637350940968
-0.24765560747663551,-0.043290956032112082,0.053022637350940968
-0.24735185747663546,-0.039932383460806825,0.053022637350940968
-0.24704810747663564,-0.043290956032110556,0.053022637350940968
-0.24674435747663559,-0.043290956032112082,0.056385230871939612
-0.24644060747663554,-0.05000810117472565,0.059747824392938256
-0.2461368574766355,-0.053366673746030907,0.063110417913935374
-0.24583310747663567,-0.050008101174727176,0.059747824392939783
-0.24552935747663562,-0.046649528603418866,0.056385230871939612
-0.24522560747663558,-0.033215238318191731,0.042934856787945036
-0.24492185747663553,-0.029856665746884947,0.036209669745947755
-0.24461810747663548,-0.026498093175578163,0.036209669745946228
-0.24431435747663566,-0.026498093175578163,0.032847076224950637
-0.24401060747663561,-0.02313952060427138,0.032847076224949111
-0.24370685747663556,-0.026498093175578163,0.032847076224949111
-0.24340310747663552,-0.02313952060427138,0.029484482703950467
-0.24309935747663547,-0.023139520604268327,0.02948448270394741
-0.24279560747663564,-0.016422375461660865,0.022759295661956239
-0.2424918574766356,-0.013063802890351028,0.016034108619955894
-0.24218810747663555,-0.0097052303190442446,0.01267151509895725
-0.2418843574766355,-0.0097052303190442446,0.0093089215779586076
-0.24158060747663546,-0.0063466577477374608,0.0093089215779570793
-0.24127685747663563,-0.0063466577477374608,0.0059463280569599644
-0.24097310747663558,-0.0063466577477374608,0.0059463280569599644
-0.24066935747663554,-0.0029880851764306771,0.0059463280569599644
-0.24036560747663549,-0.0029880851764306771,0.0059463280569599644
-0.24006185747663566,-0.0029880851764306771,0.0059463280569599644
-0.23975810747663562,-0.0029880851764306771,0.0059463280569599644
-0.23945435747663557,-0.0029880851764306771,0.0025837345359613212
-0.23915060747663552,-0.0029880851764306771,0.0025837345359613212
-0.23884685747663548,-0.0029880851764306771,0.0025837345359613212
-0.23854310747663565,-0.0029880851764306771,0.0025837345359613212
-0.2382393574766356,-0.0029880851764306771,0.0025837345359613212
-0.23793560747663556,-0.0029880851764306771,0.0059463280569599644
-0.23763185747663551,0.0037290599661828905,0.0025837345359613212
-0.23732810747663546,0.0037290599661783086,-0.00077885898503273464
-0.23702435747663564,-0.0063466577477328794,0.0093089215779540192
-0.23672060747663559,-0.0097052303190442446,0.016034108619955894
-0.23641685747663554,-0.0097052303190442446,0.016034108619955894
-0.2361131074766355,-0.013063802890352555,0.019396702140956068
-0.23580935747663567,-0.016422375461656286,0.022759295661951649
-0.23550560747663563,-0.016422375461657812,0.026121889182951823
-0.23520185747663558,-0.019780948032964596,0.026121889182951823
-0.23489810747663553,-0.019780948032964596,0.026121889182951823
-0.23459435747663548,-0.02649809317557969,0.032847076224952171
-0.23429060747663566,-0.029856665746883421,0.039572263266943339
-0.23398685747663561,-0.033215238318191731,0.042934856787945036
-0.23368310747663557,-0.033215238318191731,0.04629745030894368
-0.23337935747663552,-0.036573810889498515,0.04629745030894368
-0.23307560747663547,-0.036573810889500041,0.049660043829942324
-0.23277185747663565,-0.039932383460803772,0.049660043829942324
-0.2324681074766356,-0.039932383460805299,0.053022637350940968
-0.23216435747663555,-0.039932383460805299,0.053022637350940968
-0.23186060747663551,-0.039932383460805299,0.053022637350940968
-0.23155685747663546,-0.039932383460806825,0.053022637350940968
-0.23125310747663563,-0.043290956032112082,0.053022637350940968
-0.23094935747663559,-0.043290956032112082,0.053022637350940968
-0.23064560747663554,-0.043290956032112082,0.053022637350940968
-0.23034185747663549,-0.039932383460806825,0.053022637350940968
-0.23003810747663567,-0.043290956032110556,0.053022637350940968
-0.22973435747663562,-0.05000810117472565,0.059747824392938256
-0.22943060747663557,-0.053366673746032434,0.0631104179139369
-0.22912685747663553,-0.05000810117472565,0.059747824392938256
-0.22882310747663548,-0.04664952860341276,0.056385230871933499
-0.22851935747663565,-0.033215238318197837,0.042934856787951156
-0.22821560747663561,-0.029856665746884947,0.039572263266946399
-0.22791185747663556,-0.026498093175578163,0.036209669745947755
-0.22760810747663551,-0.026498093175578163,0.032847076224949111
-0.22730435747663547,-0.026498093175576637,0.032847076224947584
-0.22700060747663564,-0.023139520604272906,0.029484482703951997
-0.22669685747663559,-0.02313952060427138,0.029484482703950467
-0.22639310747663555,-0.019780948032964596,0.026121889182951823
-0.2260893574766355,-0.016422375461657812,0.019396702140954538
-0.22578560747663567,-0.013063802890352555,0.019396702140954538
-0.22548185747663563,-0.0097052303190442446,0.01267151509895725
-0.22517810747663558,-0.0097052303190442446,0.0093089215779586076
-0.22487435747663553,-0.0063466577477374608,0.0093089215779586076
-0.22457060747663549,-0.0063466577477374608,0.0059463280569599644
-0.22426685747663566,-0.0063466577477374608,0.0059463280569599644
-0.22396310747663561,-0.0029880851764306771,0.0059463280569599644
-0.22365935747663557,-0.0029880851764306771,0.0059463280569599644
-0.22335560747663552,-0.0029880851764306771,0.0059463280569599644
-0.22305185747663547,-0.0029880851764306771,0.0025837345359613212
-0.22274810747663565,-0.0029880851764306771,0.0025837345359613212
-0.2224443574766356,-0.0029880851764306771,0.0025837345359613212
-0.22214060747663555,-0.0029880851764306771,0.0025837345359613212
-0.22183685747663551,-0.0029880851764306771,0.0025837345359613212
-0.22153310747663546,-0.0029880851764306771,0.0059463280569599644
-0.22122935747663564,-0.0029880851764306771,0.0059463280569599644
-0.22092560747663559,0.0037290599661828905,-0.000778858985037322
-0.22062185747663554,0.0037290599661828905,0.0025837345359613212
-0.22031810747663549,-0.0063466577477389883,0.0093089215779616659
-0.22001435747663567,-0.009705230319042718,0.016034108619952837
